"__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Enhancer","IsSingleNode","Methylation_score","name","NeighborhoodConnectivity","nes","NR_R_logFC","NR_R_P.Value","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Promoter","pval","pval.fdr","Radiality","selected","SelfLoops","shared name","size","Stress","TopologicalCoefficient"
"16","2.2045454545454546","0.1935688049324413","0.4536082474226804","0.10294117647058823","19","5","0.052704411144597","false","0.147395946295243","HIF1A","6.117647058823529","1.81012936039666","0.0474518198757785","0.81872854413841","0","19","2","0.0946915351506456","0.0702757288515468","0.95305676175144","0.9536713286713288","false","0","HIF1A","146","3306","0.10294117647058823"
"16","3.1136363636363638","0.004010548838135046","0.32116788321167883","0.0","2","5","0.0515873015873016","false","0.123015873015873","PLIN1","10.5",,"-1.65633386086957","0.0433030480377257","0","2","0","0.0714285714285714",,,"0.9187062937062938","false","0","PLIN1",,"108","0.5277777777777778"
"16","3.090909090909091","0.014154475792406827","0.3235294117647059","0.3333333333333333","3","5","0.0272222222222222","false","0.0613131313131313","AHRR","8.333333333333334",,"0.750104675556772","0.079336572921244","0","3","0","0.0340909090909091",,,"0.9195804195804196","false","0","AHRR",,"200","0.42105263157894735"
"16","3.340909090909091","0.0","0.29931972789115646","0.0","1","6","0.0","false","0.0","FOXH1","14.0",,"2.1413423447205","8.11976754028388E-4","0","1","0","0.0",,,"0.909965034965035","false","0","FOXH1",,"0","0.0"
"16","2.5","0.07736415882967605","0.4","0.19047619047619047","7","5","0.0524602768269745","false","0.180932291086394","ID2","10.142857142857142",,"-2.35463188198758","0.00861460509082687","0","7","0","0.128472014259419",,,"0.9423076923076923","false","0","ID2",,"1156","0.20972644376899696"
"16","4.181818181818182","0.0","0.2391304347826087","0.0","1","6","0.0327830024381748","false","0.175640145295318","SIX4","6.0",,"-1.64965260434783","0.033437312476484","0","1","0","0.142857142857143",,,"0.8776223776223777","false","0","SIX4",,"0","0.0"
"16","3.159090909090909","0.0","0.31654676258992803","0.0","1","5","0.0","false","0.0","CYP4A11","18.0",,"1.23086621913043","0.0715474241521647","0","1","0","0.0",,,"0.9169580419580419","false","0","CYP4A11",,"0","0.0"
"16","3.1931818181818183","0.0","0.31316725978647686","0.0","2","6","0.0653624574829932","false","0.0927597177569658","ANGPT2","17.0",,"1.7081616039272","0.0398509699898294","0","2","1","0.0273972602739726",,,"0.9156468531468531","false","0","ANGPT2",,"0","0.0"
"16","2.977272727272727","0.022727272727272728","0.33587786259541985","0.0","2","6","0.333333333333333","false","0.384180790960452","ETV4","13.5","0.534453772632471","0.777837768757763","0.0301200810294757","0","2","0","0.0508474576271186","0.593027624256985","0.95305676175144","0.923951048951049","false","0","ETV4","15","234","0.5"
"16","3.0","0.0","0.3333333333333333","0.0","1","6","0.3","false","0.315151515151515","PRTN3","26.0",,"-3.03772319627329","0.0468578818073229","0","1","0","0.0151515151515152",,,"0.9230769230769231","false","0","PRTN3",,"0","0.0"
"16","3.477272727272727","0.0","0.28758169934640526","0.0","1","5","0.0","false","0.189189189189189","PKLR","9.0",,"-2.49573973068323","0.0650727313181956","0","1","0","0.189189189189189",,,"0.9047202797202798","false","0","PKLR",,"0","0.0"
"16","2.1136363636363638","0.2402111690121095","0.47311827956989244","0.0915032679738562","18","4","0.0599372859308057","false","0.171048397041917","CREB1","6.0","1.76525988490614","0.127938248447206","0.275289525349605","0","18","0","0.111111111111111","0.0775200981457595","0.95305676175144","0.9571678321678322","false","0","CREB1","74","3896","0.09770114942528736"
"16","3.4431818181818183","0.0","0.2904290429042904","0.0","1","6","0.0792914653784219","false","0.0792914653784219","ASCL3","5.0",,"2.25519354658385","0.00860426943148188","0","1","0","0.0",,,"0.9060314685314684","false","0","ASCL3",,"0","0.0"
"16","3.772727272727273","0.0013061650992685476","0.2650602409638554","0.0","2","6","0.134011994949495","false","0.200593300967421","SNAI3","4.0",,"-1.93907268074534","0.0773856810948079","0","2","0","0.0665813060179257",,,"0.8933566433566433","false","0","SNAI3",,"14","0.5"
"16","3.4886363636363638","0.0","0.28664495114006516","0.0","1","6","0.0275992183815107","false","0.0275992183815107","PKD2","7.0",,"0.838609162608696","0.0511383409401863","0","1","0","0.0",,,"0.9042832167832168","false","0","PKD2",,"0","0.0"
"16","4.068181818181818","0.0","0.24581005586592178","0.0","1","6","0.0","false","0.0","CRHBP","2.0",,"-0.941043719254663","0.0454333970847504","0","1","0","0.0",,,"0.8819930069930069","false","0","CRHBP",,"0","0.0"
"16","2.840909090909091","0.005640767278698313","0.35200000000000004","0.4","5","5","0.0659869265373784","false","0.143060068862093","TGS1","7.6",,"3.88533727503106","0.00187511836431111","0","5","0","0.0770731423247147",,,"0.9291958041958043","false","0","TGS1",,"168","0.2714285714285714"
"16","3.1931818181818183","0.0","0.31316725978647686","0.0","1","6","0.102393069954675","false","0.212210143125406","LGALS1","17.0",,"1.77968960869565","0.0182274362654981","0","1","0","0.109817073170732",,,"0.9156468531468531","false","0","LGALS1",,"0","0.0"
"16","3.125","0.022727272727272728","0.32","0.3333333333333333","3","5","0.336971247563353","false","0.411598113234995","RARG","7.333333333333333",,"1.05969855441615","0.0524380861955539","0","3","0","0.0746268656716418",,,"0.9182692307692307","false","0","RARG",,"326","0.3888888888888889"
"16","3.477272727272727","0.0","0.28758169934640526","0.0","1","5","0.219391092233834","false","0.254140126982869","PCYT2","9.0",,"-2.37119304285714","0.00512832943212146","0","1","0","0.0347490347490347",,,"0.9047202797202798","false","0","PCYT2",,"0","0.0"
"16","3.1931818181818183","0.0","0.31316725978647686","0.0","1","6","0.0","false","0.0","ANGPT4","17.0",,"1.3523055997699","4.22698059810002E-4","0","1","0","0.0",,,"0.9156468531468531","false","0","ANGPT4",,"0","0.0"
"16","3.477272727272727","0.0","0.28758169934640526","1.0","2","6","0.03529942208804","false","0.209992606396609","ID4","4.5",,"-1.7909978757764","0.0072031177542293","0","2","0","0.174693184308569",,,"0.9047202797202798","false","0","ID4",,"0","0.6428571428571429"
"16","2.0113636363636362","0.40315345573966266","0.4971751412429379","0.046153846153846156","28","5","0.0224709021792399","false","0.0224709021792399","MYC","4.153846153846154","-0.95113008019915","-3.2652887242236","0.0290227525784117","0","28","2","0.0","0.341538346641906","0.95305676175144","0.9611013986013985","false","0","MYC","381","4974","0.06695156695156695"
"16","2.9318181818181817","0.035850160810975855","0.34108527131782945","0.1","5","5","0.0226063829787234","false","0.412953624389795","FLI1","6.8","2.40023313913918","-0.0961435900621108","0.655789614304613","0","5","0","0.390347241411071","0.0163846326870612","0.644462219024405","0.9256993006993007","false","0","FLI1","13","866","0.29523809523809524"
"16","3.0","0.0","0.3333333333333333","0.0","1","6","0.111117026626328","false","0.180147312007807","TBRG4","26.0",,"1.17664069565217","0.04319307434379","0","1","0","0.0690302853814793",,,"0.9230769230769231","false","0","TBRG4",,"0","0.0"
"16","3.102272727272727","0.0","0.32234432234432236","0.0","1","5","0.0","false","0.166666666666667","UGT8","18.0",,"-1.42421906832299","0.0378468174888391","0","1","0","0.166666666666667",,,"0.9191433566433567","false","0","UGT8",,"0","0.0"
"16","3.340909090909091","0.0","0.29931972789115646","0.0","1","6","0.0824649141181399","false","0.124131580784807","FSTL3","14.0",,"-1.98551852403727","0.0505548615985147","0","1","0","0.0416666666666667",,,"0.909965034965035","false","0","FSTL3",,"0","0.0"
"16","2.8181818181818183","0.0037493158182813355","0.3548387096774193","0.5","6","6","0.0568452758586005","false","0.0913280344792901","RORC","9.2",,"-2.60567237888199","0.0810778846881615","0","6","1","0.0344827586206897",,,"0.93006993006993","false","0","RORC",,"118","0.30666666666666664"
"16","3.1931818181818183","0.0","0.31316725978647686","0.0","1","6","0.0833333333333333","false","0.369047619047619","ALDOB","17.0",,"2.50551517266655","0.00308590083714822","0","1","0","0.285714285714286",,,"0.9156468531468531","false","0","ALDOB",,"0","0.0"
"16","4.7727272727272725","0.0","0.20952380952380953","0.0","1","6","0.107525811453176","false","0.225172870276705","ELL3","2.0",,"-1.17126713291925","0.0173387762764837","0","1","0","0.117647058823529",,,"0.8548951048951049","false","0","ELL3",,"0","0.0"
"16","3.965909090909091","0.0","0.2521489971346705","0.0","1","7","0.0","false","0.0","BCHE","2.0",,"-1.04851041614907","0.0170064080561984","0","1","0","0.0",,,"0.8859265734265734","false","0","BCHE",,"0","0.0"
"16","3.0795454545454546","0.022727272727272728","0.3247232472324723","0.0","2","5","0.068168344240482","false","0.18452332764092","CRH","9.5",,"1.28889576546584","0.0167685889071269","0","2","0","0.116354983400438",,,"0.9200174825174826","false","0","CRH",,"304","0.5"
"16","3.215909090909091","0.01070976219879041","0.31095406360424027","0.3333333333333333","3","5","0.0","false","0.243243243243243","SIX3","5.333333333333333",,"-1.63081608695653","0.00202012444616561","0","3","0","0.243243243243243",,,"0.9147727272727273","false","0","SIX3",,"164","0.38461538461538464"
"16","2.8068181818181817","0.004945531219042191","0.35627530364372473","0.6666666666666666","4","5","0.0591883879927358","false","0.0591883879927358","CYP17A1","13.0",,"3.11674602360248","0.00725334989162461","0","4","1","0.0",,,"0.9305069930069931","false","0","CYP17A1",,"140","0.41935483870967744"
"16","2.602272727272727","0.09274071887708249","0.38427947598253276","0.19047619047619047","8","4","0.0714285714285714","false","0.201863354037267","NR5A1","7.0","1.72502474890453","0.271843104347826","0.749856422725092","0","8","1","0.130434782608696","0.0845230124835158","0.95305676175144","0.9383741258741259","false","0","NR5A1","15","1724","0.20982142857142858"
"16","3.2954545454545454","0.0","0.30344827586206896","1.0","3","5","0.0645161290322581","false","0.164516129032258","NR5A2","6.0",,"1.79410126521739","0.088037051125643","0","3","0","0.1",,,"0.9117132867132867","false","0","NR5A2",,"0","0.5"
"16","3.0113636363636362","0.0057869333731402715","0.33207547169811324","0.0","2","5","0.0442708333333333","false","0.0442708333333333","G6PC2","10.5",,"2.0500419068323","0.0181295604079402","0","2","0","0.0",,,"0.9226398601398601","false","0","G6PC2",,"108","0.5"
"16","3.125","2.6123301985370953E-4","0.32","0.6666666666666666","3","5","0.0858304151079517","false","0.231501321074053","HOXA1","8.0",,"3.35867142298136","0.0487629340258571","0","3","0","0.145670905966101",,,"0.9182692307692307","false","0","HOXA1",,"4","0.42105263157894735"
"16","3.0","0.0","0.3333333333333333","0.0","1","6","0.119377993132737","false","0.200599191289419","DLEU2","26.0",,"1.59552519254658","0.0239231927017688","0","1","0","0.081221198156682",,,"0.9230769230769231","false","0","DLEU2",,"0","0.0"
"16","2.534090909090909","0.004022988505747127","0.39461883408071746","0.6666666666666666","3","5","0.097971588226035","false","0.148978350044853","BCL2L1","20.333333333333332",,"3.27400203850932","0.00326808432368201","0","3","0","0.0510067618188176",,,"0.9409965034965034","false","0","BCL2L1",,"180","0.4326241134751773"
"16","2.852272727272727","0.0024481265860576205","0.350597609561753","0.0","2","5","0.0693353176208711","false","0.134298371808063","NPC1","13.5",,"-1.59837645776398","0.0844639618511511","0","2","0","0.0649630541871921",,,"0.9287587412587412","false","0","NPC1",,"64","0.5434782608695652"
"16","2.715909090909091","0.0265383062600931","0.3682008368200837","0.4","6","5","0.0","false","0.0","FOXP3","9.0",,"0.928512581987578","0.0832968132409697","0","6","1","0.0",,,"0.9340034965034966","false","0","FOXP3",,"560","0.28125"
"16","3.0","0.0","0.3333333333333333","0.0","1","6","0.0","false","0.0","HIST2H4A","26.0",,"-4.84472805652174","0.0368966148235152","0","1","0","0.0",,,"0.9230769230769231","false","0","HIST2H4A",,"0","0.0"
"16","3.102272727272727","0.0","0.32234432234432236","0.0","1","5","0.0216374269005848","false","0.0380308695235356","PLAT","18.0",,"1.59683350714286","0.0608520569267785","0","1","0","0.0163934426229508",,,"0.9191433566433567","false","0","PLAT",,"0","0.0"
"16","3.159090909090909","0.0","0.31654676258992803","0.0","1","5","0.0","false","0.227272727272727","VWDE","18.0",,"2.09143299378882","0.0152709642141781","0","1","0","0.227272727272727",,,"0.9169580419580419","false","0","VWDE",,"0","0.0"
"16","4.113636363636363","0.0","0.24309392265193372","0.0","1","6","0.155555555555556","false","0.155555555555556","TSHZ3","3.0",,"0.930522162111802","0.0728755644886621","0","1","0","0.0",,,"0.8802447552447552","false","0","TSHZ3",,"0","0.0"
"16","3.0","0.0","0.3333333333333333","0.0","1","6","0.0355994864535486","false","0.0741916839988437","MTERF","26.0",,"0.804638877018634","0.0236512158893647","0","1","0","0.0385921975452952",,,"0.9230769230769231","false","0","MTERF",,"0","0.0"
"16","3.0","0.0","0.3333333333333333","0.0","1","6","0.0671957671957672","false","0.374888074888075","HSPA4","26.0",,"-3.66994016942236","0.00162058411848575","0","1","0","0.307692307692308",,,"0.9230769230769231","false","0","HSPA4",,"0","0.0"
"16","2.977272727272727","0.0","0.33587786259541985","1.0","2","6","0.0475866331067404","false","0.134037526650007","DNAJC2","15.5",,"1.6898405552795","0.00125231445869917","0","2","0","0.0864508935432662",,,"0.923951048951049","false","0","DNAJC2",,"0","0.5740740740740741"
"16","5.1477272727272725","0.0","0.19426048565121415","0.0","1","7","0.0136546184738956","false","0.0136546184738956","MACC1","2.0",,"2.27406313850932","0.0577553756030405","0","1","0","0.0",,,"0.8404720279720279","false","0","MACC1",,"0","0.0"
"16","3.784090909090909","0.022727272727272728","0.26426426426426425","0.0","2","5","0.0723499361430396","false","0.124981515090408","SUPT4H1","3.0",,"0.850225319254657","0.0230606081107958","0","2","0","0.0526315789473684",,,"0.8929195804195804","false","0","SUPT4H1",,"352","0.5"
"16","2.352272727272727","0.16276476701633447","0.42512077294685996","0.10989010989010989","16","5","0.0439393939393939","false","0.210606060606061","SMAD3","6.428571428571429","2.93762466227744","0.162079354037267","0.206532470302508","0","16","2","0.166666666666667","0.00330737171671985","0.390269862572942","0.9479895104895105","false","0","SMAD3","33","2640","0.125"
"16","4.284090909090909","0.0","0.23342175066312998","0.0","1","6","0.11333234666568","false","0.67583234666568","NACC2","5.0",,"-0.895350538509317","0.0321843413678094","0","1","0","0.5625",,,"0.8736888111888111","false","0","NACC2",,"0","0.0"
"16","4.284090909090909","0.0","0.23342175066312998","0.0","1","6","0.0","false","0.274509803921569","NR2E1","5.0",,"-2.33681189440994","0.00648427382100353","0","1","0","0.274509803921569",,,"0.8736888111888111","false","0","NR2E1",,"0","0.0"
"16","3.340909090909091","0.0","0.29931972789115646","0.0","1","6","0.0801932367149758","false","0.307706464228203","HOXA13","14.0",,"0.871693478260866","0.05848989372252","0","1","0","0.227513227513228",,,"0.909965034965035","false","0","HOXA13",,"0","0.0"
"16","3.340909090909091","0.0","0.29931972789115646","0.0","1","6","0.0","false","0.0833333333333333","ZNF823","14.0",,"0.894966049689441","0.0151525582009606","0","1","0","0.0833333333333333",,,"0.909965034965035","false","0","ZNF823",,"0","0.0"
"16","3.477272727272727","0.0","0.28758169934640526","1.0","2","6","0.333333333333333","false","0.476190476190476","OLIG2","4.5",,"2.3902470863354","0.064808717191803","0","2","0","0.142857142857143",,,"0.9047202797202798","false","0","OLIG2",,"0","0.6428571428571429"
"16","3.1363636363636362","1.3061650992685477E-4","0.31884057971014496","0.6666666666666666","3","5","0.082589671620685","false","0.172125784687211","GPS2","8.666666666666666",,"1.37562427701863","0.00122061102140353","0","3","0","0.089536113066526",,,"0.9178321678321678","false","0","GPS2",,"2","0.48148148148148145"
"16","2.772727272727273","0.006699665712204898","0.360655737704918","0.5","6","5","0.0622881355932203","false","0.084222333000997","RUNX1","9.4","2.42809250538738","0.246158857142859","0.420457931772079","0","6","1","0.0219341974077767","0.0151784712749892","0.644462219024405","0.9318181818181818","false","0","RUNX1","21","250","0.31333333333333335"
"16","3.340909090909091","0.0038146240732447614","0.29931972789115646","0.0","3","5","0.0617679140869186","false","0.334495186814191","PRKAG3","4.333333333333333",,"-2.14220605962733","0.0502994052036833","0","3","0","0.272727272727273",,,"0.909965034965035","false","0","PRKAG3",,"104","0.37037037037037035"
"16","2.7386363636363638","0.0","0.3651452282157676","1.0","2","5","0.115384615384615","false","0.145484949832776","ETV3","22.0",,"-2.04914437267081","0.00854556774570161","0","2","0","0.0301003344481605",,,"0.9331293706293706","false","0","ETV3",,"0","0.5945945945945946"
"16","3.0","0.0","0.3333333333333333","0.0","1","6","0.222222222222222","false","0.282828282828283","SLC1A5","26.0",,"-0.789374826086955","0.0204610323339049","0","1","0","0.0606060606060606",,,"0.9230769230769231","false","0","SLC1A5",,"0","0.0"
"16","2.4886363636363638","0.10319247106080966","0.4018264840182648","0.027777777777777776","9","4","0.0322611497030102","false","0.109920204106251","SREBF1","6.111111111111111","1.70549043274506","-0.112542652173912","0.763410250986975","0","9","0","0.0776590544032404","0.0881029951034754","0.95305676175144","0.9427447552447552","false","0","SREBF1","23","1726","0.1523809523809524"
"16","3.477272727272727","0.0","0.28758169934640526","0.0","1","5","0.215384615384615","false","0.29503063308373","ZNFX1","9.0",,"-2.63131003447205","0.0518383631201882","0","1","0","0.079646017699115",,,"0.9047202797202798","false","0","ZNFX1",,"0","0.0"
"16","3.159090909090909","0.0","0.31654676258992803","0.0","1","5","0.124158249158249","false","0.124158249158249","GTSF1","18.0",,"1.02203677018633","0.0758233805913637","0","1","0","0.0",,,"0.9169580419580419","false","0","GTSF1",,"0","0.0"
"16","3.0","0.0","0.3333333333333333","0.0","1","6","0.0","false","0.115384615384615","UCP3","26.0",,"1.87251420496894","0.0238528029797377","0","1","0","0.115384615384615",,,"0.9230769230769231","false","0","UCP3",,"0","0.0"
"16","2.8181818181818183","0.08069796147774205","0.3548387096774193","0.3","5","4","0.0761904761904762","false","0.276190476190476","NR2E3","7.2",,"1.68180565217391","0.0415925429180532","0","5","0","0.2",,,"0.93006993006993","false","0","NR2E3",,"1198","0.2518518518518518"
"16","3.9204545454545454","0.0","0.25507246376811593","0.0","1","6","0.0","false","0.0833333333333333","CD53","5.0",,"1.19896760807454","0.0439676658757987","0","1","0","0.0833333333333333",,,"0.8876748251748251","false","0","CD53",,"0","0.0"
"16","3.977272727272727","0.0","0.25142857142857145","0.0","1","6","0.196756796690307","false","0.397131328525513","DPF1","3.0",,"1.89175493565217","0.0233797601204836","0","1","0","0.200374531835206",,,"0.8854895104895105","false","0","DPF1",,"0","0.0"
"16","3.340909090909091","0.0","0.29931972789115646","0.0","1","6","0.0","false","0.0","SERTAD1","14.0",,"3.72263241142857","0.00239035972272196","0","1","0","0.0",,,"0.909965034965035","false","0","SERTAD1",,"0","0.0"
"16","2.7954545454545454","0.0","0.35772357723577236","1.0","2","6","0.0537121212121212","false","0.158363284002819","SIRT6","21.5",,"1.47794550354037","0.00674157642752816","0","2","0","0.104651162790698",,,"0.9309440559440559","false","0","SIRT6",,"0","0.6142857142857143"
"16","4.159090909090909","0.022727272727272728","0.24043715846994534","0.0","2","6","0.166666666666667","false","0.213178294573643","SIX5","3.5",,"2.11872908695652","0.080887366662491","0","2","0","0.0465116279069767",,,"0.8784965034965034","false","0","SIX5",,"320","0.5"
"16","3.0","0.0","0.3333333333333333","0.0","1","6","0.0","false","0.148148148148148","ZNF281","26.0",,"-1.03410785093168","0.0270531089500359","0","1","0","0.148148148148148",,,"0.9230769230769231","false","0","ZNF281",,"0","0.0"
"16","2.6136363636363638","0.0","0.38260869565217387","1.0","3","5","0.0283687943262411","false","0.171225937183384","VEGFC","20.333333333333332",,"-1.0463906010559","0.0478760502566668","0","3","0","0.142857142857143",,,"0.9379370629370629","false","0","VEGFC",,"0","0.4621212121212121"
"16","3.0","0.0","0.3333333333333333","0.0","1","6","0.0908553093028149","false","0.176569595017101","MST1","26.0",,"1.51418258434161","0.00984095506850169","0","1","0","0.0857142857142857",,,"0.9230769230769231","false","0","MST1",,"0","0.0"
"16","2.1704545454545454","0.32106561585401705","0.4607329842931937","0.058823529411764705","18","4","0.0208333333333333","false","0.0208333333333333","RXRA","4.888888888888889","-1.93821061388519","0.0373444483850931","0.93236179309649","0","18","0","0.0","0.0525975323553452","0.95305676175144","0.9549825174825174","false","0","RXRA","12","5042","0.0876068376068376"
"16","3.2954545454545454","0.053504876349703946","0.30344827586206896","0.1","5","5","0.0102985638699924","false","0.0613189720332578","MTA3","2.4",,"0.994446255279504","0.0932862377658229","0","5","0","0.0510204081632653",,,"0.9117132867132867","false","0","MTA3",,"790","0.2571428571428571"
"16","2.4545454545454546","0.09427602830815994","0.4074074074074074","0.2","5","4","0.0375139353400223","false","0.137513935340022","NR4A3","12.2",,"-1.14873563602484","0.0829147252695194","0","5","0","0.1",,,"0.9440559440559441","false","0","NR4A3",,"1698","0.2608695652173913"
"16","2.5795454545454546","0.017957564901138583","0.3876651982378855","0.3","5","5","0.0398724082934609","false","0.539872408293461","NPAS2","12.6",,"2.15471907981366","0.085388946162942","0","5","0","0.5",,,"0.9392482517482518","false","0","NPAS2",,"606","0.3073170731707317"
"16","3.0","0.0","0.3333333333333333","0.0","1","6","0.0724206349206349","false","0.200261544011544","TEAD1","26.0",,"-2.64056641366459","0.00776209175665037","0","1","0","0.127840909090909",,,"0.9230769230769231","false","0","TEAD1",,"0","0.0"
"16","2.9886363636363638","0.022727272727272728","0.33460076045627374","0.3333333333333333","3","5","0.0","false","0.0","SMARCE1","8.0",,"-1.3374758757764","0.0139574017534617","0","3","0","0.0",,,"0.923513986013986","false","0","SMARCE1",,"330","0.36507936507936506"
"16","3.340909090909091","0.0","0.29931972789115646","0.0","1","6","0.077834008097166","false","0.244500674763833","CXXC5","14.0",,"2.18248908757764","0.0508068018788939","0","1","0","0.166666666666667",,,"0.909965034965035","false","0","CXXC5",,"0","0.0"
"16","3.102272727272727","0.0","0.32234432234432236","0.0","1","5","0.0","false","0.0606060606060606","TINAGL1","18.0",,"-0.924434636645961","0.0320273231851701","0","1","0","0.0606060606060606",,,"0.9191433566433567","false","0","TINAGL1",,"0","0.0"
"16","3.1931818181818183","0.0","0.31316725978647686","0.0","1","6","0.0206971677559913","false","0.163554310613134","ABCG2","17.0",,"-1.48296705791025","0.0934875838381973","0","1","0","0.142857142857143",,,"0.9156468531468531","false","0","ABCG2",,"0","0.0"
"16","3.0","0.0","0.3333333333333333","0.0","1","6","0.114147262363013","false","0.295965444181195","HES5","26.0",,"-1.07092823602485","0.0825495896368653","0","1","0","0.181818181818182",,,"0.9230769230769231","false","0","HES5",,"0","0.0"
"16","2.7954545454545454","0.0","0.35772357723577236","1.0","2","6","0.0","false","0.0555555555555556","CEACAM5","21.5",,"-2.98605227080746","0.0055140981883319","0","2","0","0.0555555555555556",,,"0.9309440559440559","false","0","CEACAM5",,"0","0.6142857142857143"
"16","3.0","0.0","0.3333333333333333","0.0","1","6","0.0619309562153534","false","0.272910992512994","CDR2","26.0",,"-1.61118529254659","0.0775284459194827","0","1","0","0.210980036297641",,,"0.9230769230769231","false","0","CDR2",,"0","0.0"
"16","2.4545454545454546","0.03307303328855054","0.4074074074074074","0.3","5","5","0.0383657667299272","false","0.112502014653572","ID1","13.0",,"-1.52982012086957","0.0215670213587886","0","5","0","0.0741362479236444",,,"0.9440559440559441","false","0","ID1",,"576","0.256"
"16","3.1931818181818183","0.07237896203413446","0.31316725978647686","0.2","6","5","0.0","false","0.0821917808219178","EYA1","3.5",,"-2.58733395279503","0.0827148719800536","0","6","0","0.0821917808219178",,,"0.9156468531468531","false","0","EYA1",,"1030","0.25"
