"__mclCluster","EnrichmentMap::Colouring (Data Set 1)","EnrichmentMap::ES (Data Set 1)","EnrichmentMap::fdr_qvalue (Data Set 1)","EnrichmentMap::fwer_qvalue (Data Set 1)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Data Set 1)","EnrichmentMap::pvalue (Data Set 1)","name","selected","shared name","wordcloud.sync"
"5","0.99968",,"0.0127",,"WWC3|PLCB1|MYB|MTA3|TCF7|TLE2|SMAD4|GATA2|MYC|NR2E3|MAGEA2|EZR|SMO|FOXA1|EFNA1|RBMX|GMNN|SIX3|JUN|SMAD2|HEYL|PITX1|SRC|SIM2|GATA1|SIX6|FOXH1|NR0B1|EDN1|TBX19|IFNA2|GPS2|HES3|HELLS|BMP6|SUMO1|REL|KCNIP3|CSF2|RUNX3|RELA|JUNB|FOXO3|TCERG1|FOXP2|CENPV|REST|TRPV4|WT1|ASCL2","negative regulation of RNA metabolic process","50","ENR","GO:0051253","0.18961962790440431","3.2E-4","GO:0051253","false","GO:0051253","false"
"7","0.999999941",,"7.71E-6",,"FZD4|DDX11|PLCB1|MYB|RBPMS|MTA3|TCF7|SMAD4|IL2|GATA2|IL5|TEAD3|TADA2A|MYC|NR2E3|EGR4|SMO|FOXA1|HMGB3|RBMX|HOXB7|SIX3|JUN|MEOX2|SMAD2|FOSL2|HEYL|PITX1|SRC|NR5A1|IL1A|SIM2|BAMBI|ROR2|GATA1|FOXH1|ALX4|EDN1|TBX19|IFNA2|GPS2|HES3|PSIP1|TRIM71|BMP6|WNT7A|GDF6|PUM1|GRHL3|EBF2|FLI1|REL|RUNX3|MACC1|TEF|RELA|JUNB|FOXO3|TCERG1|WDR75|CHEK1|ETV4|HOXB9|FOSL1|REST|ETV1|TNIP2|SERPINF2|IL31RA|WT1|ASCL2|DNAJC2","positive regulation of RNA metabolic process","72","ENR","GO:0051254","0.5112945621949043","5.9E-8","GO:0051254","false","GO:0051254","false"
"4","0.9999056",,"0.0045",,"FZD4|CDC6|DDX11|RBX1|TLE2|IL2|OAS3|IL5|MYC|TTC21B|NR2E3|MAGEA2|SMO|FOXA1|CDK16|MNX1|OASL|GMNN|HOXB7|BRIP1|SIX3|MEOX2|SMAD2|FOSL2|PITX1|IL1A|SIM2|SIX6|HOXD1|ALX4|TBX19|CELSR2|HES3|HELLS|BMP6|WNT7A|GDF6|PUM1|GRHL3|HOXB6|EBF2|FLI1|REL|KCNIP3|STK36|CSF2|TBRG4|ADCY1|TEF|JUNB|RNF25|TCERG1|CENPV|WDR75|ETV4|HOXB9|FOSL1|REST|CLU|TNIP2|SERPINF2|IGSF1|WT1|ASCL2|DNAJC2|MAPK11|WWC3|PLCB1|MYB|RBPMS|MTA3|TCF7|SMAD4|GATA2|TEAD3|TADA2A|EGR4|EZR|EFNA1|HMGB3|RBMX|CD40LG|CTH|JUN|HEYL|SRC|NR5A1|BAMBI|ROR2|GATA1|FOXH1|NR0B1|EDN1|IFNA2|GPS2|PSIP1|TRIM71|SUMO1|INS|CAMK2A|RUNX3|MACC1|RELA|FOXO3|FOXP2|CHEK1|ETV1|CDC45|TRPV4|IL31RA","regulation of RNA metabolic process","110","ENR","GO:0051252","0.23467874862246565","9.44E-5","GO:0051252","false","GO:0051252","false"
"21","0.9999999999999878",,"5.35E-12",,"FZD4|HTR2A|CDC6|DDX11|RBX1|CCL22|GDF10|EPX|PSENEN|WNT3|IL2|CCL3|HBEGF|IL5|MYC|PIK3R6|CCL23|TTC21B|CCL4|NR2E3|C3|MAGEA2|SMO|FOXA1|HOXB7|CCL21|SIX3|MEOX2|SMAD2|FOSL2|PITX1|IL1A|SIM2|TNFRSF8|IL21|ALX4|NKD1|TBX19|HES3|PLK2|FGD2|CRH|BMP6|WNT7A|ACTG2|GDF6|AGR2|PUM1|GRHL3|EBF2|KCNE2|FLI1|REL|CLDN19|CSF2|ADCY1|TEF|JUNB|TCERG1|MMP14|WDR75|ETV4|DSCC1|HOXB9|FOSL1|VEGFB|REST|CLSPN|CLU|TNIP2|SERPINF2|RPS27L|WT1|ASCL2|DNAJC2|MAPK11|ANG|RTN4|PLCB1|MYB|RBPMS|MTA3|TCF7|SMPD1|SMAD4|GATA2|TEAD3|TADA2A|DUSP9|DUSP19|EGR4|EZR|EFNA1|EFNA3|HMGB3|RBMX|CD40LG|JUN|PLCE1|BMP8B|HEYL|SRC|NR5A1|GSN|GDF5|BAMBI|ROR2|GATA1|FOXH1|CYBB|GDF9|CD83|EDN1|IFNA8|IFNA2|IFNA16|GPS2|PSIP1|ANGPT4|TRIM71|GPR55|SUMO1|ECT2|GPC3|HSPA2|GRIN2A|INS|PTK2B|RUNX3|MACC1|RELA|HCRTR1|TCL1A|FOXO3|ADRA2C|CHEK1|TNIK|CCL24|ETV1|TRPV4|MUC20|IL31RA","positive regulation of macromolecule metabolic process","142","ENR","GO:0010604","1.1271646217978772","1.22E-14","GO:0010604","false","GO:0010604","false"
"12","0.999999999863",,"3.04E-8",,"FZD4|HTR2A|CDC6|DDX11|SERPIND1|RBX1|BDKRB1|CCL22|UBE2J1|GDF10|TLE2|APOC2|PSENEN|IL2|OAS3|CCL3|HBEGF|IL5|MYC|PIK3R6|CCL23|TTC21B|CCL4|NR2E3|C3|MAGEA2|SMO|FOXA1|CDK16|MNX1|APCS|HRH4|OASL|GMNN|HOXB7|BRIP1|CCL21|SIX3|MEOX2|SMAD2|FOSL2|SLC4A1|PITX1|IL1A|SIM2|MAP1A|SIX6|IL21|HOXD1|FBXL20|ALX4|INPP5J|BBS4|NKD1|TBX19|SERPINB12|SLC6A3|CELSR2|HES3|PLK2|FGD2|HELLS|CRH|BMP6|WNT7A|GDF6|PUM1|GRHL3|HOXB6|EBF2|KCNE2|FLI1|GRIN2C|REL|SPRY1|KCNIP3|STK36|CLDN19|TRAP1|CSF2|TBRG4|ADCY1|TGS1|PKMYT1|TEF|PPP1R3A|JUNB|TACR3|RNF25|TCERG1|CENPV|MMP14|WDR75|ETV4|DSCC1|HOXB9|FOSL1|VEGFB|REST|CLSPN|CLU|DUSP21|TNIP2|SERPINF2|A2M|IGSF1|RPS27L|WT1|ASCL2|DNAJC2|MAPK11|HAP1|WWC3|ANG|PLCB1|POM121|MYB|RBPMS|MTA3|TCF7|SMPD1|SMAD4|GATA2|TEAD3|TADA2A|DUSP9|DUSP19|EPHA2|DUSP14|EGR4|EZR|EFNA1|EFNA3|HMGB3|RBMX|CD40LG|CTH|JUN|PLCE1|BMP8B|HEYL|SRC|NR5A1|GSN|GDF5|BAMBI|ROR2|GATA1|FOXH1|GDF9|NR0B1|EDN1|IFNA8|IFNA2|IFNA16|GPS2|PSIP1|ANGPT4|TRIM71|GPR55|SUMO1|ECT2|GPC3|HSPA2|GRIN2A|INS|PTK2B|CAMK2A|GSTP1|RUNX3|MACC1|RELA|HCRTR1|SLC8A1|TCL1A|FOXO3|ADRA2C|FOXP2|NPPC|CHEK1|TNIK|CCL24|ETV1|CDC45|TRPV4|EEF1D|MST1|MUC20|IL31RA","regulation of primary metabolic process","189","ENR","GO:0080090","0.7517126416391247","1.37E-10","GO:0080090","false","GO:0080090","false"
"20","0.99999116",,"6.4E-4",,"KCNQ1|HAP1|WWC3|ANG|CDC6|SERPIND1|PLCB1|MYB|MTA3|BDKRB1|TCF7|SMPD1|UBE2J1|TLE2|SMAD4|EPX|IL2|CCL3|HBEGF|GATA2|DUSP9|MYC|SRGN|DUSP19|EPHA2|NR2E3|DUSP14|C3|MAGEA2|EZR|SMO|FOXA1|EFNA1|APCS|RBMX|GMNN|BRIP1|SIX3|JUN|SMAD2|HEYL|PITX1|SRC|SIM2|MAP1A|GATA1|SIX6|FOXH1|INPP5J|NR0B1|PTPRS|CD83|BBS4|EDN1|TBX19|SERPINB12|IFNA2|GPS2|HES3|TRIM71|HELLS|CRH|BMP6|SUMO1|GPC3|PUM1|GRIN2C|REL|GRIN2A|SPRY1|KCNIP3|INS|CLDN19|CSF2|GSTP1|RUNX3|RELA|JUNB|SLC8A1|FOXO3|TCERG1|FOXP2|CENPV|NPPC|VEGFB|REST|CLU|DUSP21|TRPV4|SERPINF2|A2M|WT1|ASCL2|DNAJC2","negative regulation of macromolecule metabolic process","94","ENR","GO:0010605","0.3193820026016113","8.84E-6","GO:0010605","false","GO:0010605","false"
"4","0.9999",,"0.0048",,"FZD4|HTR2A|CDC6|DDX11|RBX1|TLE2|IL2|OAS3|IL5|MYC|TTC21B|NR2E3|MAGEA2|SMO|FOXA1|CDK16|MNX1|OASL|GMNN|HOXB7|BRIP1|SIX3|MEOX2|SMAD2|FOSL2|SLC4A1|PITX1|IL1A|SIM2|SIX6|HOXD1|ALX4|TBX19|CELSR2|HES3|HELLS|BMP6|WNT7A|GDF6|PUM1|GRHL3|HOXB6|EBF2|FLI1|REL|KCNIP3|STK36|CSF2|TBRG4|ADCY1|TEF|JUNB|RNF25|TCERG1|CENPV|WDR75|ETV4|DSCC1|HOXB9|FOSL1|REST|CLU|TNIP2|SERPINF2|IGSF1|WT1|ASCL2|DNAJC2|MAPK11|WWC3|PLCB1|POM121|MYB|RBPMS|MTA3|TCF7|SMAD4|GATA2|TEAD3|TADA2A|EGR4|EZR|EFNA1|HMGB3|RBMX|CD40LG|CTH|JUN|HEYL|SRC|NR5A1|BAMBI|ROR2|GATA1|FOXH1|NR0B1|EDN1|IFNA2|GPS2|PSIP1|TRIM71|SUMO1|INS|PTK2B|CAMK2A|RUNX3|MACC1|RELA|FOXO3|FOXP2|NPPC|CHEK1|ETV1|CDC45|TRPV4|IL31RA","regulation of nucleobase-containing compound metabolic process","116","ENR","GO:0019219","0.23187587626244127","1.0E-4","GO:0019219","false","GO:0019219","false"
"21","0.9999999999999784",,"8.41E-12",,"FZD4|HTR2A|CDC6|DDX11|RBX1|CCL22|GDF10|APOC2|EPX|PSENEN|WNT3|IL2|CCL3|HBEGF|IL5|MYC|PIK3R6|CCL23|TTC21B|CCL4|NR2E3|C3|MAGEA2|SMO|FOXA1|HOXB7|CCL21|SIX3|MEOX2|SMAD2|FOSL2|PITX1|IL1A|SIM2|TNFRSF8|IL21|ALX4|NKD1|TBX19|PIP4K2A|HES3|PLK2|FGD2|CRH|BMP6|DDAH1|WNT7A|ACTG2|GDF6|AGR2|PUM1|GRHL3|EBF2|KCNE2|FLI1|REL|CLDN19|CSF2|ADCY1|TEF|JUNB|TCERG1|MMP14|WDR75|ETV4|DSCC1|HOXB9|FOSL1|VEGFB|REST|CLSPN|CLU|TNIP2|SERPINF2|RPS27L|WT1|ASCL2|DNAJC2|MAPK11|ANG|RTN4|PLCB1|MYB|RBPMS|MTA3|TCF7|SMPD1|SMAD4|GATA2|TEAD3|TADA2A|DUSP9|ALMS1|DUSP19|EPHA2|EGR4|EZR|EFNA1|EFNA3|HMGB3|RBMX|CD40LG|JUN|PLCE1|BMP8B|HEYL|SRC|NR5A1|GSN|GDF5|BAMBI|ROR2|GATA1|FOXH1|CYBB|GDF9|CD83|EDN1|IFNA8|IFNA2|IFNA16|GPS2|PSIP1|ANGPT4|TRIM71|GPR55|SUMO1|ECT2|GPC3|HSPA2|GRIN2A|INS|PTK2B|GSTP1|RUNX3|MACC1|RELA|HCRTR1|TCL1A|FOXO3|ADRA2C|CHEK1|SESN1|TNIK|CCL24|ETV1|TRPV4|MUC20|IL31RA","positive regulation of metabolic process","149","ENR","GO:0009893","1.1075204004202086","2.16E-14","GO:0009893","false","GO:0009893","false"
"20","0.99999416",,"4.4E-4",,"KCNQ1|CDC6|SERPIND1|BDKRB1|UBE2J1|TLE2|APOC2|EPX|IL2|CCL3|HBEGF|MYC|SRGN|NR2E3|C3|MAGEA2|SMO|FOXA1|APCS|GMNN|BRIP1|SIX3|SMAD2|SLC4A1|PITX1|SIM2|MAP1A|SIX6|INPP5J|PTPRS|BBS4|TBX19|SERPINB12|HES3|HELLS|CRH|BMP6|PUM1|GRIN2C|REL|SPRY1|KCNIP3|CLDN19|TRAP1|CSF2|PKMYT1|BCL2L1|JUNB|TCERG1|CENPV|VEGFB|REST|CLU|DUSP21|SERPINF2|A2M|PCDH11X|WT1|ASCL2|DNAJC2|HAP1|WWC3|ANG|PLCB1|MYB|MTA3|TCF7|SMPD1|SMAD4|GATA2|DUSP9|DUSP19|EPHA2|DUSP14|EZR|EFNA1|RBMX|JUN|HEYL|SRC|GATA1|FOXH1|NR0B1|CD83|EDN1|IFNA2|GPS2|TRIM71|SUMO1|GPC3|GRIN2A|INS|GSTP1|RUNX3|RELA|SLC8A1|FOXO3|FOXP2|NPPC|TRPV4|MST1","negative regulation of metabolic process","101","ENR","GO:0009892","0.33565473235138127","5.84E-6","GO:0009892","false","GO:0009892","false"
"6","0.99999999999808",,"5.91E-10",,"MAPK11|FZD4|ANG|HTR2A|CDC6|PLCB1|RBPMS|CCL22|SMPD1|GDF10|SMAD4|APOC2|IL2|CCL3|HBEGF|IL5|DUSP9|PIK3R6|DUSP19|CCL23|EPHA2|CCL4|C3|EFNA1|CD40LG|CCL21|JUN|PLCE1|BMP8B|SRC|GDF5|ROR2|GATA1|IL21|GDF9|EDN1|IFNA8|IFNA2|IFNA16|FGD2|ANGPT4|CRH|GPR55|BMP6|ECT2|WNT7A|GDF6|HSPA2|INS|PTK2B|CLDN19|CSF2|ADCY1|HCRTR1|TCL1A|ADRA2C|TNIK|VEGFB|CCL24|CLSPN|CLU|TRPV4|SERPINF2|MUC20|IL31RA","positive regulation of phosphate metabolic process","65","ENR","GO:0045937","0.9228412519118745","1.92E-12","GO:0045937","false","GO:0045937","false"
"7","0.999999898",,"1.27E-5",,"FZD4|HTR2A|DDX11|PLCB1|MYB|RBPMS|MTA3|TCF7|SMAD4|IL2|GATA2|IL5|TEAD3|TADA2A|MYC|NR2E3|EGR4|SMO|FOXA1|HMGB3|RBMX|HOXB7|SIX3|JUN|MEOX2|SMAD2|FOSL2|HEYL|PITX1|SRC|NR5A1|IL1A|SIM2|BAMBI|ROR2|GATA1|FOXH1|ALX4|EDN1|TBX19|IFNA2|GPS2|HES3|PSIP1|TRIM71|BMP6|WNT7A|GDF6|PUM1|GRHL3|EBF2|FLI1|REL|INS|PTK2B|RUNX3|MACC1|TEF|RELA|JUNB|FOXO3|TCERG1|WDR75|CHEK1|ETV4|DSCC1|HOXB9|FOSL1|REST|ETV1|TNIP2|SERPINF2|IL31RA|WT1|ASCL2|DNAJC2","positive regulation of nucleobase-containing compound metabolic process","76","ENR","GO:0045935","0.4896196279044043","1.02E-7","GO:0045935","false","GO:0045935","false"
"6","0.999999999851",,"3.27E-8",,"MAPK11|FZD4|ANG|HTR2A|CDC6|PLCB1|POM121|RBPMS|BDKRB1|CCL22|SMPD1|GDF10|SMAD4|APOC2|IL2|CCL3|HBEGF|IL5|DUSP9|MYC|PIK3R6|DUSP19|CCL23|EPHA2|CCL4|DUSP14|C3|EZR|EFNA1|HRH4|CD40LG|CCL21|JUN|PLCE1|BMP8B|SLC4A1|SRC|GDF5|ROR2|GATA1|IL21|INPP5J|GDF9|EDN1|IFNA8|IFNA2|IFNA16|GPS2|FGD2|ANGPT4|CRH|GPR55|BMP6|ECT2|WNT7A|GDF6|HSPA2|SPRY1|INS|PTK2B|CLDN19|CSF2|GSTP1|ADCY1|PKMYT1|HCRTR1|SLC8A1|TCL1A|ADRA2C|TNIK|VEGFB|CCL24|CLSPN|CLU|DUSP21|TRPV4|SERPINF2|PCDH11X|MST1|MUC20|IL31RA","regulation of phosphate metabolic process","81","ENR","GO:0019220","0.7485452247339713","1.49E-10","GO:0019220","false","GO:0019220","false"
"12","0.9999999999373",,"1.5E-8",,"KCNQ1|CDC6|SERPIND1|RBX1|BDKRB1|CCL22|EPX|WNT3|IL2|OAS3|HBEGF|IL5|SRGN|TTC21B|C3|SMO|FOXA1|MNX1|APCS|HRH4|OASL|BRIP1|CCL21|SMAD2|SLC4A1|IL1A|TNFRSF8|IL21|FBXL20|BBS4|NKD1|SERPINB12|SLC6A3|CELSR2|PLK2|FGD2|CRH|BMP6|DDAH1|WNT7A|GDF6|GRHL3|KCNE2|GRIN2C|REL|KCNIP3|STK36|CLDN19|CSF2|ADCY1|BCL2L1|JUNB|TACR3|ATP6V1E2|MMP14|HOXB9|FOSL1|VEGFB|REST|CLSPN|CLU|TNIP2|SERPINF2|A2M|RPS27L|WT1|ASCL2|MAPK11|HAP1|ANG|RTN4|PLCB1|MYB|RBPMS|TCF7|SMPD1|SMAD4|CYP1A2|GATA2|TEAD3|DUSP9|EPHA2|EZR|ATP1B1|EFNA1|EFNA3|HMGB3|RBMX|CD40LG|CTH|JUN|PLCE1|BMP8B|HEYL|SRC|NR5A1|GSN|GDF5|BAMBI|ROR2|S1PR3|GATA1|FOXH1|CYBB|GDF9|NR0B1|CD83|EDN1|IFNA8|IFNA2|IFNA16|GPS2|PSIP1|ANGPT4|TRIM71|GPR55|SUMO1|ECT2|GPC3|HSPA2|GRIN2A|INS|PTK2B|CAMK2A|GSTP1|RUNX3|MACC1|RELA|HCRTR1|SLC8A1|TCL1A|FOXO3|ADRA2C|FOXP2|NPPC|CHEK1|SESN1|TNIK|CCL24|ETV1|CDC45|TRPV4|EEF1D|MST1|MUC20|IL31RA|FZD4|HTR2A|DDX11|UBE2J1|GDF10|TLE2|APOC2|PSENEN|CCL3|MYC|PIK3R6|CCL23|CCL4|NR2E3|NPRL3|MAGEA2|CDK16|GMNN|HOXB7|SIX3|MEOX2|FOSL2|PITX1|SIM2|MAP1A|SIX6|HOXD1|ALX4|INPP5J|PTPRS|TBX19|PIP4K2A|HES3|HELLS|ACTG2|AGR2|PUM1|HOXB6|EBF2|FLI1|SPRY1|TRAP1|TBRG4|TGS1|PKMYT1|TEF|PPP1R3A|RNF25|TCERG1|CENPV|WDR75|ETV4|DSCC1|DUSP21|IGSF1|PCDH11X|DNAJC2|WWC3|POM121|MTA3|TADA2A|ALMS1|DUSP19|DUSP14|EGR4","regulation of metabolic process","211","ENR","GO:0019222","0.7823908740944319","6.27E-11","GO:0019222","false","GO:0019222","false"
"5","0.99971",,"0.0116",,"WWC3|PLCB1|MYB|MTA3|TCF7|TLE2|SMAD4|GATA2|MYC|NR2E3|MAGEA2|EZR|SMO|FOXA1|EFNA1|RBMX|GMNN|SIX3|JUN|SMAD2|SLC4A1|HEYL|PITX1|SRC|SIM2|GATA1|SIX6|FOXH1|NR0B1|EDN1|TBX19|IFNA2|GPS2|HES3|HELLS|BMP6|SUMO1|REL|KCNIP3|CSF2|RUNX3|RELA|JUNB|FOXO3|TCERG1|FOXP2|CENPV|NPPC|REST|TRPV4|WT1|ASCL2|DNAJC2","negative regulation of nucleobase-containing compound metabolic process","53","ENR","GO:0045934","0.19355420107730817","2.9E-4","GO:0045934","false","GO:0045934","false"
"132","0.9999999999516",,"1.21E-8",,"FZD4|HTR2A|CDC6|SERPIND1|RBX1|BDKRB1|CCL22|UBE2J1|GDF10|PSENEN|IL2|CCL3|HBEGF|IL5|MYC|PIK3R6|CCL23|CCL4|C3|MAGEA2|APCS|HRH4|CCL21|MAP1A|IL21|FBXL20|INPP5J|NKD1|SERPINB12|PLK2|FGD2|CRH|BMP6|WNT7A|GDF6|PUM1|KCNE2|GRIN2C|SPRY1|CLDN19|TRAP1|CSF2|ADCY1|PKMYT1|MMP14|VEGFB|REST|CLSPN|CLU|DUSP21|SERPINF2|A2M|RPS27L|WT1|MAPK11|HAP1|ANG|PLCB1|MYB|RBPMS|SMPD1|SMAD4|GATA2|TADA2A|DUSP9|DUSP19|EPHA2|DUSP14|EZR|EFNA1|EFNA3|CD40LG|JUN|PLCE1|BMP8B|SRC|GSN|GDF5|ROR2|GATA1|GDF9|EDN1|IFNA8|IFNA2|IFNA16|GPS2|ANGPT4|TRIM71|GPR55|SUMO1|ECT2|GPC3|HSPA2|GRIN2A|INS|PTK2B|GSTP1|RELA|HCRTR1|SLC8A1|TCL1A|FOXO3|ADRA2C|CHEK1|TNIK|CCL24|TRPV4|EEF1D|MST1|MUC20|IL31RA","regulation of protein metabolic process","111","ENR","GO:0051246","0.791721462968355","4.84E-11","GO:0051246","false","GO:0051246","false"
