"__mclCluster","Cloud_1","EnrichmentMap::Colouring (Data Set 1)","EnrichmentMap::ES (Data Set 1)","EnrichmentMap::fdr_qvalue (Data Set 1)","EnrichmentMap::fwer_qvalue (Data Set 1)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Data Set 1)","EnrichmentMap::pvalue (Data Set 1)","name","selected","shared name","wordcloud.sync"
,"true","0.99973",,"0.043",,"PSMA3|NUP107|DUSP4|PRKAB2|CCNE1|CASP6|CDK6|PRDM14|CSF1R|MRPS18C|REST|PSEN1|ACSL5|MRPL37|CDK9|FOXO4|PCNA|RNF20|MRPS12|PPARA|GPX1|PTHLH|RAN|RPAP2|CBL|VCAM1|CD36|MAP3K4","organonitrogen compound metabolic process","28","ENR","GO:1901564","0.18265509464814922","2.7E-4","GO:1901564","false","GO:1901564","false"
"7","true","0.999999307",,"0.0012",,"CD4|TFAP2C|PSMA3|APEX1|NUP107|DUSP4|CCNE1|E2F3|CDK6|PRDM14|KLF10|CSF1R|FOSL1|REST|PSEN1|PURA|ETS2|CDK9|LIN28A|FOXO4|PCNA|TFAP2A|RNF20|PPARA|GPX1|PTHLH|RAN|RPAP2|CRABP2|CHMP5|MSR1|CBL|CD36|PECAM1|CCL17|TRPC5|MAP3K4","regulation of macromolecule metabolic process","37","ENR","GO:0060255","0.39040622818519316","6.93E-7","GO:0060255","false","GO:0060255","false"
"4","true","0.9999898",,"0.0037",,"CD4|PSMA3|APEX1|NUP107|DUSP4|PRKAB2|CCNE1|E2F3|CASP6|CDK6|PRDM14|TEX12|CSF1R|MRPS18C|FEN1|REST|PSEN1|PURA|MRPL37|SF3A3|CDK9|LIN28A|FOXO4|PCNA|RNF20|MRPS12|PPARA|GPX1|RAN|RPAP2|CWC25|CBL|CD36|MAP3K4","macromolecule metabolic process","34","ENR","GO:0043170","0.32504214488816585","1.02E-5","GO:0043170","false","GO:0043170","false"
"4","true","0.9999893",,"0.0037",,"PSMA3|APEX1|NUP107|DUSP4|PRKAB2|CCNE1|E2F3|CDK6|PRDM14|TEX12|CSF1R|MRPS18C|FEN1|REST|PSEN1|PURA|MRPL37|CDK9|LIN28A|FOXO4|PCNA|RNF20|MRPS12|PPARA|GPX1|RAN|RPAP2|CBL|CD36|MAP3K4","cellular macromolecule metabolic process","30","ENR","GO:0044260","0.32504214488816585","1.07E-5","GO:0044260","false","GO:0044260","false"
,"true","0.99977",,"0.0374",,"MRPS12|PPARA|GPX1|APEX1|PTHLH|RAN|RPAP2|CCNE1|CWC25|E2F3|TEX12|MRPS18C|FEN1|PSEN1|PURA|ACSL5|MRPL37|SF3A3|CDK9|LIN28A|PCNA","cellular nitrogen compound metabolic process","21","ENR","GO:0034641","0.19075466910329658","2.3E-4","GO:0034641","false","GO:0034641","false"
"9","true","0.9999879",,"0.0039",,"RNF20|CD4|TFAP2C|PPARA|APEX1|RAN|CCNE1|E2F3|KLF10|CSF1R|CD36|FOSL1|PECAM1|REST|CCL17|PSEN1|TRPC5|ETS2|MAP3K4|CDK9|LIN28A|FOXO4|PCNA|TFAP2A","positive regulation of cellular metabolic process","24","ENR","GO:0031325","0.3219862168578554","1.21E-5","GO:0031325","false","GO:0031325","false"
"4","true","0.9999654",,"0.0078",,"CD4|PSMA3|APEX1|NUP107|DUSP4|PRKAB2|CCNE1|E2F3|CASP6|CDK6|PRDM14|TEX12|CSF1R|MRPS18C|FEN1|REST|PSEN1|PURA|ACSL5|MRPL37|SF3A3|CDK9|LIN28A|FOXO4|PCNA|RNF20|MRPS12|PPARA|GPX1|PTHLH|RAN|RPAP2|CWC25|CRABP2|CBL|VCAM1|CD36|MAP3K4","organic substance metabolic process","38","ENR","GO:0071704","0.2817495588938001","3.46E-5","GO:0071704","false","GO:0071704","false"
"7","true","0.999999485",,"0.0012",,"CD4|TFAP2C|PSMA3|APEX1|NUP107|DUSP4|PRKAB2|CCNE1|E2F3|CDK6|PRDM14|KLF10|CSF1R|FOSL1|REST|PSEN1|PURA|ETS2|CDK9|LIN28A|FOXO4|PCNA|TFAP2A|RNF20|PPARA|GPX1|RAN|CHD9|RPAP2|CRABP2|CBL|CD36|PECAM1|CCL17|TRPC5|MAP3K4","regulation of primary metabolic process","36","ENR","GO:0080090","0.39040622818519316","5.15E-7","GO:0080090","false","GO:0080090","false"
"7","true","0.99999873",,"0.0012",,"CD4|TFAP2C|PSMA3|APEX1|NUP107|DUSP4|PRKAB2|CCNE1|E2F3|CDK6|PRDM14|KLF10|CSF1R|FOSL1|REST|PSEN1|PURA|ETS2|CDK9|LIN28A|FOXO4|PCNA|TFAP2A|RNF20|PPARA|GPX1|RAN|RPAP2|CRABP2|CHMP5|CBL|CD36|PECAM1|CCL17|TRPC5|MAP3K4","regulation of cellular metabolic process","36","ENR","GO:0031323","0.39040622818519316","1.27E-6","GO:0031323","false","GO:0031323","false"
"8","true","0.99999796",,"0.0016",,"RNF20|TFAP2C|PPARA|GPX1|APEX1|DUSP4|CCNE1|E2F3|CDK6|PRDM14|CBL|KLF10|CD36|REST|PSEN1|PURA|ETS2|CDK9|LIN28A|FOXO4|PCNA|TFAP2A","negative regulation of cellular metabolic process","22","ENR","GO:0031324","0.3737065062844534","2.04E-6","GO:0031324","false","GO:0031324","false"
"9","true","0.99999119",,"0.0034",,"CD4|TFAP2C|APEX1|CCNE1|E2F3|CDK6|KLF10|CSF1R|FOSL1|REST|PSEN1|ETS2|CDK9|LIN28A|FOXO4|PCNA|TFAP2A|RNF20|PPARA|RAN|CD36|PECAM1|CCL17|TRPC5|MAP3K4","positive regulation of macromolecule metabolic process","25","ENR","GO:0010604","0.3299506358924438","8.81E-6","GO:0010604","false","GO:0010604","false"
"8","true","0.999999473",,"0.0012",,"RNF20|TFAP2C|PPARA|GPX1|APEX1|DUSP4|CCNE1|E2F3|CDK6|PRDM14|CBL|KLF10|CD36|REST|PSEN1|PURA|ETS2|CDK9|LIN28A|FOXO4|PCNA|TFAP2A","negative regulation of nitrogen compound metabolic process","22","ENR","GO:0051172","0.39040622818519316","5.27E-7","GO:0051172","false","GO:0051172","false"
"9","true","0.99999518",,"0.0023",,"RNF20|CD4|TFAP2C|PPARA|APEX1|RAN|CCNE1|E2F3|KLF10|CSF1R|CD36|FOSL1|PECAM1|REST|CCL17|PSEN1|TRPC5|ETS2|MAP3K4|CDK9|LIN28A|FOXO4|PCNA|TFAP2A","positive regulation of nitrogen compound metabolic process","24","ENR","GO:0051173","0.35264012293559566","4.82E-6","GO:0051173","false","GO:0051173","false"
"8","true","0.999999447",,"0.0012",,"RNF20|TFAP2C|PPARA|GPX1|APEX1|RAN|DUSP4|CCNE1|E2F3|CDK6|MSR1|PRDM14|CBL|KLF10|CD36|REST|PSEN1|PURA|ETS2|CDK9|LIN28A|FOXO4|PCNA|TFAP2A","negative regulation of macromolecule metabolic process","24","ENR","GO:0010605","0.39040622818519316","5.53E-7","GO:0010605","false","GO:0010605","false"
"3","true","0.99999877",,"0.0012",,"RNF20|CD4|TFAP2C|PPARA|APEX1|RAN|CCNE1|E2F3|KLF10|FOSL1|REST|PSEN1|ETS2|MAP3K4|CDK9|LIN28A|FOXO4|PCNA|TFAP2A","positive regulation of nucleobase-containing compound metabolic process","19","ENR","GO:0045935","0.39040622818519316","1.23E-6","GO:0045935","false","GO:0045935","false"
"7","true","0.99999699",,"0.0018",,"CD4|TFAP2C|PSMA3|APEX1|NUP107|DUSP4|CCNE1|E2F3|CDK6|PRDM14|KLF10|CSF1R|FOSL1|REST|PSEN1|PURA|ETS2|CDK9|LIN28A|FOXO4|PCNA|TFAP2A|RNF20|PPARA|GPX1|RAN|RPAP2|CRABP2|CBL|CD36|PECAM1|CCL17|TRPC5|MAP3K4","regulation of nitrogen compound metabolic process","34","ENR","GO:0051171","0.3668692921218775","3.01E-6","GO:0051171","false","GO:0051171","false"
"4","true","0.9999234",,"0.0151",,"PSMA3|APEX1|NUP107|DUSP4|PRKAB2|CCNE1|E2F3|CASP6|CDK6|PRDM14|TEX12|CSF1R|MRPS18C|FEN1|REST|PSEN1|PURA|ACSL5|MRPL37|SF3A3|CDK9|LIN28A|FOXO4|PCNA|RNF20|MRPS12|PPARA|GPX1|PTHLH|RAN|RPAP2|CWC25|CRABP2|CBL|CD36|MAP3K4","primary metabolic process","36","ENR","GO:0044238","0.24340392243905454","7.66E-5","GO:0044238","false","GO:0044238","false"
"4","true","0.99986",,"0.0253",,"PSMA3|APEX1|NUP107|DUSP4|PRKAB2|CCNE1|E2F3|CDK6|PRDM14|TEX12|CSF1R|MRPS18C|FEN1|REST|PSEN1|PURA|ACSL5|MRPL37|SF3A3|CDK9|LIN28A|FOXO4|PCNA|RNF20|MRPS12|PPARA|GPX1|PTHLH|RAN|RPAP2|CWC25|CRABP2|CHMP2B|CBL|CD36|MAP3K4","cellular metabolic process","36","ENR","GO:0044237","0.2134441561464485","1.4E-4","GO:0044237","false","GO:0044237","false"
"4","true","0.9999328",,"0.0135",,"CD4|PSMA3|APEX1|NUP107|DUSP4|PRKAB2|CCNE1|E2F3|CASP6|CDK6|PRDM14|TEX12|CSF1R|MRPS18C|FEN1|REST|PSEN1|PURA|ACSL5|MRPL37|SF3A3|CDK9|LIN28A|FOXO4|PCNA|RNF20|MRPS12|PPARA|GPX1|PTHLH|RAN|RPAP2|CWC25|CRABP2|CHMP2B|CBL|VCAM1|CD36|MAP3K4","metabolic process","39","ENR","GO:0008152","0.24990572948744855","6.72E-5","GO:0008152","false","GO:0008152","false"
"5","true","0.9999999327",,"2.9E-4",,"RNF20|TFAP2C|PPARA|APEX1|CCNE1|E2F3|CDK6|PRDM14|KLF10|CD36|REST|PSEN1|PURA|ETS2|CDK9|FOXO4|PCNA|TFAP2A","negative regulation of RNA metabolic process","18","ENR","GO:0051253","0.4728475029790142","6.73E-8","GO:0051253","false","GO:0051253","false"
"3","true","0.99999294",,"0.0028",,"RNF20|CD4|TFAP2C|PPARA|APEX1|RAN|CCNE1|E2F3|KLF10|FOSL1|REST|PSEN1|ETS2|CDK9|LIN28A|FOXO4|TFAP2A","positive regulation of RNA metabolic process","17","ENR","GO:0051254","0.34122124243002505","7.06E-6","GO:0051254","false","GO:0051254","false"
"2","true","0.99999545",,"0.0023",,"CD4|TFAP2C|PSMA3|APEX1|NUP107|CCNE1|E2F3|CDK6|PRDM14|KLF10|FOSL1|REST|PSEN1|PURA|ETS2|CDK9|LIN28A|FOXO4|PCNA|TFAP2A|RNF20|PPARA|RAN|RPAP2|CRABP2|CD36","regulation of RNA metabolic process","26","ENR","GO:0051252","0.35264012293559566","4.55E-6","GO:0051252","false","GO:0051252","false"
"2","true","0.99999535",,"0.0023",,"CD4|TFAP2C|PSMA3|APEX1|NUP107|CCNE1|E2F3|CDK6|PRDM14|KLF10|FOSL1|REST|PSEN1|PURA|ETS2|CDK9|LIN28A|FOXO4|PCNA|TFAP2A|RNF20|PPARA|RAN|RPAP2|CRABP2|CD36|MAP3K4","regulation of nucleobase-containing compound metabolic process","27","ENR","GO:0019219","0.35264012293559566","4.65E-6","GO:0019219","false","GO:0019219","false"
"9","true","0.9999894",,"0.0037",,"CD4|TFAP2C|APEX1|PRKAB2|CCNE1|E2F3|CDK6|KLF10|CSF1R|FOSL1|REST|PSEN1|ETS2|CDK9|LIN28A|FOXO4|PCNA|TFAP2A|RNF20|PPARA|RAN|CD36|PECAM1|CCL17|TRPC5|MAP3K4","positive regulation of metabolic process","26","ENR","GO:0009893","0.32504214488816585","1.06E-5","GO:0009893","false","GO:0009893","false"
"4","true","0.9999856",,"0.0045",,"PSMA3|APEX1|NUP107|DUSP4|PRKAB2|CCNE1|E2F3|CASP6|CDK6|PRDM14|TEX12|CSF1R|MRPS18C|FEN1|REST|PSEN1|PURA|ACSL5|MRPL37|SF3A3|CDK9|LIN28A|FOXO4|PCNA|RNF20|MRPS12|PPARA|GPX1|PTHLH|RAN|RPAP2|CWC25|CBL|VCAM1|CD36|MAP3K4","nitrogen compound metabolic process","36","ENR","GO:0006807","0.3136793235148195","1.44E-5","GO:0006807","false","GO:0006807","false"
"7","true","0.999999538",,"0.0012",,"CD4|TFAP2C|PSMA3|APEX1|NUP107|DUSP4|PRKAB2|CCNE1|E2F3|CDK6|PRDM14|KLF10|CSF1R|FOSL1|REST|PSEN1|PURA|ETS2|CDK9|LIN28A|FOXO4|PCNA|TFAP2A|RNF20|PPARA|GPX1|PTHLH|RAN|CHD9|RPAP2|CRABP2|CHMP5|MSR1|CBL|CD36|PECAM1|CCL17|TRPC5|MAP3K4","regulation of metabolic process","39","ENR","GO:0019222","0.39040622818519316","4.62E-7","GO:0019222","false","GO:0019222","false"
