"name","NR_R_adj.P.Val","NR_R_AveExpr","NR_R_B","NR_R_logFC","NR_R_nes","NR_R_P.Value","NR_R_pval","NR_R_pval.fdr","NR_R_size","NR_R_t","PR","PRWP","R_REL_adj.P.Val","R_REL_AveExpr","R_REL_B","R_REL_logFC","R_REL_P.Value","R_REL_t","REL_R_nes","REL_R_pval","REL_R_pval.fdr","REL_R_size","selected","shared name"
"MYC","0.83324554240018","-0.578580616392157","-3.4537992579689","-3.2652887242236","-0.95113008019915","0.0290227525784117","0.341538346641906","0.95305676175144","381","-2.25069619736724","1.0","0.0","0.99512996256347","-0.578580616392157","-3.81028003130975","3.42972830217143","0.0424316549006682","2.08364013186957","-2.5823780969459","0.00981220200398447","0.555743792431265","381","false","MYC"
"RXRA","0.991631499533091","1.1699330445098","-5.3857354026377","0.0373444483850931","-1.93821061388519","0.93236179309649","0.0525975323553452","0.95305676175144","12","0.0853201479806604",,"0.0","0.99512996256347","1.1699330445098","-5.01309731952908","-0.152813331428572","0.760462664074392","-0.306579588857355","-1.1083942864259","0.267691571370643","0.97672672276366","12","false","RXRA"
"SUMO1","0.975834104718457","-6.49223829411765","-5.37023205701588","-0.14338278881988",,"0.832013801250039",,,,"-0.213277610426893","1.0",,"0.99512996256347","-6.49223829411765","-4.0499186622861","-1.56450242857142","0.0690848408302457","-1.85868353634409",,,,,"false","SUMO1"
"PLTP","0.980635197983362","4.75514656862745","-5.37739907040569","0.0837008509316775",,"0.868233969267189",,,,"0.166792590409588",,,"0.99512996256347","4.75514656862745","-4.10775378858161","-1.02147648571429","0.0778498859670642","-1.80106193456652",,,,,"false","PLTP"
"SLC10A2","0.945241499105275","1.50635763921569","-4.52068180678634","0.506015485714287",,"0.144863259829056",,,,"1.48205029861976",,,"0.99512996256347","1.50635763921569","-3.42200982991084","-0.933830585714286","0.0195879172069027","-2.41343282839002",,,,,"false","SLC10A2"
"PRM1","0.945241499105275","-7.32548521568627","-5.1426635000126","0.295165565217388",,"0.438411750806494",,,,"0.781388164441998","1.0",,"0.99512996256347","-7.32548521568627","-4.09459915531408","-0.789820299999995","0.075757675977851","-1.81429948220757",,,,,"false","PRM1"
"HOXB9","0.945241499105275","-5.51214446862745","-4.73407801423972","1.6426420726708",,"0.205745466001335",,,,"1.282734217291","1.0",,"0.99512996256347","-5.51214446862745","-3.56648858374674","-3.36707508571428","0.0260701813131833","-2.29476651202821",,,,,"false","HOXB9"
"MAGEA2","0.945241499105275","-6.93928296078431","-5.2677177224549","0.456521086956518",,"0.587007878418889",,,,"0.546861059815858","1.0",,"0.99512996256347","-6.93928296078431","-3.45967965763304","-2.38833409999999","0.0211003815390808","-2.38289614719288",,,,,"false","MAGEA2"
"GPS2","0.458704896014952","-1.66284559803922","-1.19917399653285","1.37562427701863",,"0.00122061102140353",,,,"3.4379825805288","0.0","0.0","0.982392679760855","-1.66284559803922","-3.04853329054077","-1.23760653571428","0.00941058195234775","-2.70329854798682",,,,,"false","GPS2"
"SRC","0.957204995464957","-3.32946105882353","-5.34039355845249","0.316674299378882",,"0.731491190026908",,,,"0.345147982087419","1.0",,"0.99512996256347","-3.32946105882353","-4.21398940335335","-1.75325510285714","0.097183403960356","-1.6910353295366",,,,,"false","SRC"
"EHHADH","0.945241499105275","1.31333283392157","-5.25209389149377","0.28003527515528",,"0.563796081592574",,,,"0.581243625175343","1.0",,"0.99512996256347","1.31333283392157","-3.92240057664799","-1.08955010428572","0.0532306064982285","-1.98090303961971",,,,,"false","EHHADH"
"NR2E3","0.857199360511922","-4.04488268627451","-3.70092582878941","1.68180565217391",,"0.0415925429180532",,,,"2.09371339472985","1.0","0.0","0.99512996256347","-4.04488268627451","-3.3545907863228","-2.2402488","0.0171507009686803","-2.46742806637101",,,,,"false","NR2E3"
"ADAMTS3","0.95361326326451","-6.30079293949184","-5.32930346364308","-0.312921394611002",,"0.703562300918076",,,,"-0.382794387053035","0.0",,"0.99512996256347","-6.30079293949184","-4.04985857837592","-1.726514656155","0.0690762979748894","-1.85874263926256",,,,,"false","ADAMTS3"
"ANGPTL4","0.855045079949143","-0.705021840811537","-3.67105056572027","1.46937820606154",,"0.039811299039178",,,,"2.11317587200239",,"0.0","0.99512996256347","-0.705021840811537","-3.70311093463079","-1.71466759266238","0.0342231954537585","-2.1783283149678",,,,,"false","ANGPTL4"
"TGS1","0.504377150896939","-1.40345295607843","-1.50863402960106","3.88533727503106",,"0.00187511836431111",,,,"3.29124360156743","0.0","0.0","0.391865179356082","-1.40345295607843","-0.534896384460369","-5.86156938285714","6.68796451241261E-5","-4.35881845499412",,,,,"false","TGS1"
"BCL2L1","0.532023378153694","-3.4042498745098","-1.90818099163519","3.27400203850932",,"0.00326808432368201",,,,"3.09630137557053","1.0","0.0","0.99512996256347","-3.4042498745098","-4.08516493719077","-2.18055712285714","0.0742939523571677","-1.8237445548215",,,,,"false","BCL2L1"
"GRHL3","0.945241499105275","-4.98351630588235","-4.47374831731563","1.41815129813665",,"0.134391776643342",,,,"1.52271622892012","1.0",,"0.99512996256347","-4.98351630588235","-4.04575398049018","-1.96220716857142","0.0684953292757971","-1.86277661588291",,,,,"false","GRHL3"
"IL1A","0.945241499105275","-3.50118867058824","-4.98225255153057","0.991178117391303",,"0.319065042005967",,,,"1.0068312303684","1.0",,"0.932032986357353","-3.50118867058824","-2.71397867510891","-3.29460248","0.00489885781968347","-2.94722120278542",,,,,"false","IL1A"
"EFNA1","0.945241499105275","0.277562072294118","-5.18451259974448","0.393751643037267",,"0.480296102380699",,,,"0.7113734354788","1.0",,"0.99512996256347","0.277562072294118","-3.72588624379888","1.36672229457143","0.035818627195024","2.15846849014175",,,,,"false","EFNA1"
"SMAD2","0.992282410989639","4.49329011764706","-5.38642615716561","0.0407697639751561",,"0.940774838916678",,,,"0.0746861650031137","1.0",,"0.99512996256347","4.49329011764706","-4.22713210705957","1.04162811428571","0.0999118648355031","1.67700539320132",,,,,"false","SMAD2"
"CYP7B1","0.834905591980161","4.28123043137255","-3.54802118288681","0.71286740993789",,"0.0332717000333132",,,,"2.19187988083067",,,"0.99512996256347","4.28123043137255","-3.76454804097799","-0.784736714285719","0.0387048535380932","-2.12443712567213",,,,,"false","CYP7B1"
"RELA","0.607092676893896","-4.99253417647059","-2.33153805799893","3.10038527515528","1.61018753010826","0.00590223982448812","0.107356922866041","0.95305676175144","143","2.8814950568879","1.0","0.0","0.99512996256347","-4.99253417647059","-4.16198541658882","-2.12316219428571","0.0871468482025873","-1.74561711697807","0.269924763847933","0.787218135268722","0.988966926211641","143","false","RELA"
